,GRANDE-AREA-PREDOMINANTE,AREA-PREDOMINANTE,(P.MED_TOT_BIBL_TRABALHO),(P.MED_TOT_BIBL),(P.MED_TOT_ORIE_CONC),(P.MED_TOT_DEMAIS),(P.MED_TOT_OUTRAS),(P.MED_TOT_TECN)
0,Ciências Agrárias,Agronomia,[0. 5.],[ 0.25 27.  ],[0.   7.75],[ 0.   20.25],[ 0.   20.75],[ 0.  10.5]
1,Ciências Agrárias,Ciência e Tecnologia de Alimentos,[0.   2.75],[ 0.5 19. ],[0.   7.75],[ 0.5 16. ],[ 0.5 16. ],[0.   8.25]
2,Ciências Agrárias,Engenharia Agrícola,[0.   5.25],[ 0.75 19.5 ],[0. 5.],[ 0.5   15.375],[ 0.5   15.375],[0.  8.5]
3,Ciências Agrárias,Medicina Veterinária,[0.   2.25],[ 0.5  23.25],[0.   6.75],[ 0.25 18.75],[ 0.25 18.75],[0.  9.5]
4,Ciências Agrárias,Recursos Florestais e Engenharia Florestal,[0.   4.75],[ 0.5 18.5],[0.   5.25],[ 0.   15.25],[ 0.   15.25],[0. 7.]
5,Ciências Agrárias,Recursos Pesqueiros e Engenharia de Pesca,[0.    1.375],[ 0.5   14.875],[0.    5.625],[ 0.875 15.875],[ 1.    15.875],[0.   5.75]
6,Ciências Agrárias,Zootecnia,[0.   4.25],[ 0.5 28.5],[0.   6.75],[ 0.5 20. ],[ 0.5  19.25],[0.   8.75]
7,Ciências Biológicas,Biofísica,[0. 3.],[ 1.25 15.25],[0. 4.],[ 0.667 11.   ],[ 0.667 11.125],[0.    6.375]
8,Ciências Biológicas,Biologia Geral,[0.  1.5],[ 1. 18.],[0.  4.5],[ 0.75 13.25],[ 0.75 13.25],[0.  8.5]
9,Ciências Biológicas,Bioquímica,[0.   1.75],[ 0.75 18.5 ],[0.   5.25],[ 0.333 14.75 ],[ 0.333 14.75 ],[0. 6.]
10,Ciências Biológicas,Botânica,[0.   1.25],[ 0.75 17.75],[0. 5.],[ 0.75 14.75],[ 0.75 14.75],[0. 7.]
11,Ciências Biológicas,Ecologia,[0.   2.25],[ 0.333 16.   ],[0.   6.25],[ 0.25 15.  ],[ 0.25 15.  ],[0.   8.25]
12,Ciências Biológicas,Farmacologia,[0. 1.],[ 0.75 18.75],[0.   5.75],[ 0.417 15.875],[ 0.417 15.875],[0.    7.375]
13,Ciências Biológicas,Fisiologia,[0.   1.25],[ 1.  19.5],[0.   4.25],[ 0.75 13.25],[ 0.75 13.5 ],[0.  5.5]
14,Ciências Biológicas,Genética,[0. 2.],[ 0.875 23.75 ],[0.   5.75],[ 0.5   17.625],[ 0.5   17.625],[0.  9.5]
15,Ciências Biológicas,Imunologia,[0. 1.],[ 1.  17.5],[0.  4.5],[ 0.5  17.25],[ 0.5  17.25],[0.  8.5]
16,Ciências Biológicas,Microbiologia,[0.   1.75],[ 1.   17.25],[0.   5.75],[ 0.5  15.25],[ 0.5  15.25],[0. 6.]
17,Ciências Biológicas,Morfologia,[0.   1.25],[ 1.   16.25],[0.   4.75],[ 1.   16.25],[ 1.   17.25],[0.   7.25]
18,Ciências Biológicas,Parasitologia,[0. 1.],[ 1.  16.5],[0.   4.75],[ 0.333 13.75 ],[ 0.333 13.75 ],[0.   6.25]
19,Ciências Biológicas,Zoologia,[0. 1.],[ 1.    17.875],[0.    5.125],[ 0.5   13.625],[ 0.5   13.625],[0. 8.]
20,Ciências Exatas e da Terra,Astronomia,[0.    1.625],[ 1.    12.375],[0.   2.25],[0.    6.625],[0.    6.625],[0.   3.75]
21,Ciências Exatas e da Terra,Ciência da Computação,[0. 5.],[ 0. 10.],[0.    6.125],[ 0.  13.5],[ 0.  13.5],[0.   6.25]
22,Ciências Exatas e da Terra,Física,[0.   3.25],[ 0.417 14.875],[0.   3.75],[0.   9.25],[0.    9.375],[0.    4.375]
23,Ciências Exatas e da Terra,Geociências,[0.    4.875],[ 0.   15.25],[0.  6.5],[ 0.  15.5],[ 0.   15.75],[0.   7.75]
24,Ciências Exatas e da Terra,Matemática,[0.    2.625],[0.    7.875],[0. 4.],[ 0.25 10.5 ],[ 0.25 10.5 ],[0.   5.25]
25,Ciências Exatas e da Terra,Oceanografia,[0. 3.],[ 0.5   17.875],[0.    5.875],[ 0. 18.],[ 0. 18.],[0. 7.]
26,Ciências Exatas e da Terra,Probabilidade e Estatística,[0.   2.75],[ 0.5  14.25],[0. 4.],[ 0.25 11.  ],[ 0.25 11.  ],[0.   5.25]
27,Ciências Exatas e da Terra,Química,[0.   3.25],[ 0.417 19.875],[0. 6.],[ 0.125 15.5  ],[ 0.125 15.5  ],[0.    6.875]
28,Ciências Humanas,Antropologia,[0.   2.25],[0.   9.75],[0. 6.],[ 0.5 16. ],[ 0.75 17.  ],[ 0. 10.]
29,Ciências Humanas,Arqueologia,[0.   2.25],[0.25 9.25],[0.   4.25],[ 0.75 15.5 ],[ 0.75 15.5 ],[0. 8.]
30,Ciências Humanas,Ciência Política,[0.   2.75],[0.583 9.5  ],[0. 7.],[ 1.125 17.875],[ 1.125 17.75 ],[0.    9.125]
31,Ciências Humanas,Educação,[0.  5.5],[ 0.   16.75],[ 0. 10.],[ 0.   23.75],[ 0.   23.75],[ 0.   16.25]
32,Ciências Humanas,Filosofia,[0.  1.5],[ 0.25 11.25],[0. 6.],[ 0.333 16.75 ],[ 0.5 17.5],[ 0.   10.75]
33,Ciências Humanas,Geografia,[0.  4.5],[ 0.333 13.5  ],[0.    7.125],[ 1.    17.125],[ 1.125 17.75 ],[0.   8.75]
34,Ciências Humanas,História,[0.   2.75],[ 0.25 12.25],[0.   7.25],[ 1.  19.5],[ 1.  19.5],[ 0.   11.25]
35,Ciências Humanas,Psicologia,[0.    2.625],[ 0.25  17.625],[0.    8.125],[ 0.667 21.625],[ 0.667 21.75 ],[ 0.  13.5]
36,Ciências Humanas,Sociologia,[0.   2.75],[ 0.25 12.75],[0.   6.25],[ 0.5  19.75],[ 0.5 20. ],[ 0.  11.5]
37,Ciências Humanas,Teologia,[0.    1.875],[ 0.125 13.75 ],[0.   7.75],[ 0.375 19.   ],[ 0.5 19. ],[ 0.    12.125]
38,Ciências Sociais Aplicadas,Administração,[0.   6.25],[ 0.25 13.25],[ 0.   10.75],[ 0.5  19.75],[ 0.5 20. ],[ 0. 10.]
39,Ciências Sociais Aplicadas,Arquitetura e Urbanismo,[0. 4.],[ 0.  10.5],[0.  6.5],[ 0.333 18.   ],[ 0.333 18.5  ],[0.   8.75]
40,Ciências Sociais Aplicadas,Ciência da Informação,[0.   3.75],[ 0.    11.125],[0.    6.375],[ 0.25 19.25],[ 0.292 19.25 ],[0.    8.125]
41,Ciências Sociais Aplicadas,Comunicação,[0.   3.25],[ 0.   11.75],[0.   8.25],[ 0.5 20.5],[ 0.708 20.75 ],[ 0.    10.375]
42,Ciências Sociais Aplicadas,Demografia,[0.    3.125],[1.    9.875],[0.125 4.375],[ 0.75  16.625],[ 0.75 16.75],[0.375 8.375]
43,Ciências Sociais Aplicadas,Desenho Industrial,[0.   4.75],[0.25 9.  ],[0.    8.875],[ 0.5  19.75],[ 0.583 20.625],[ 0.    10.875]
44,Ciências Sociais Aplicadas,Direito,[0.  1.5],[ 0.   11.75],[ 0.    12.125],[ 0.5  27.25],[ 0.583 27.25 ],[0.    9.125]
45,Ciências Sociais Aplicadas,Economia,[0.  4.5],[ 0.  12.5],[0.   6.75],[ 0.  18.5],[ 0.  18.5],[0.  7.5]
46,Ciências Sociais Aplicadas,Economia Doméstica,[0.   4.25],[ 1. 14.],[0.  7.5],[ 0.  23.5],[ 0.  23.5],[ 0.  18.5]
47,Ciências Sociais Aplicadas,Museologia,[0.    3.625],[ 0.625 11.   ],[0.    4.875],[ 1.5  20.75],[ 1.5   18.125],[ 0.375 13.875]
48,Ciências Sociais Aplicadas,Planejamento Urbano e Regional,[0.  3.5],[ 0.25 10.5 ],[0.  6.5],[ 0.5  17.75],[ 0.5 18. ],[0.  7.5]
49,Ciências Sociais Aplicadas,Serviço Social,[0.  3.5],[ 0.    11.375],[0. 8.],[ 0.583 22.   ],[ 0.667 22.125],[ 0. 13.]
50,Ciências Sociais Aplicadas,Turismo,[0.    2.875],[0.417 9.625],[0. 6.],[ 1.75 16.  ],[ 1.75 16.  ],[0.292 6.375]
51,Ciências da Saúde,Educação Física,[0.   2.75],[ 0.25 15.75],[0.   7.75],[ 0.75 17.75],[ 0.75 17.75],[0.   9.25]
52,Ciências da Saúde,Enfermagem,[0.  1.5],[ 0. 16.],[0.   7.75],[ 1.   22.75],[ 1.   22.75],[ 0. 12.]
53,Ciências da Saúde,Farmácia,[0.   1.25],[ 0.25  17.875],[0.  6.5],[ 0.417 16.375],[ 0.417 16.5  ],[0.   8.75]
54,Ciências da Saúde,Fisioterapia e Terapia Ocupacional,[0.  1.5],[ 0.25 11.5 ],[0.    6.625],[ 1.125 14.25 ],[ 1.125 14.25 ],[0.    9.125]
55,Ciências da Saúde,Fonoaudiologia,[0.    1.375],[ 0.625 15.25 ],[0.    5.625],[ 1.875 20.25 ],[ 2.25  20.625],[ 0.  12.5]
56,Ciências da Saúde,Medicina,[0. 2.],[ 0.25 24.25],[0.  6.5],[ 0.   22.75],[ 0.   22.75],[ 0.   12.75]
57,Ciências da Saúde,Nutrição,[0.   1.75],[ 0.5 17. ],[0.   7.25],[ 0.75 17.  ],[ 0.75 17.  ],[0. 8.]
58,Ciências da Saúde,Odontologia,[0.    1.875],[ 0.5  22.25],[0.    6.375],[ 0.5   21.125],[ 0.5   21.125],[ 0.    13.125]
59,Ciências da Saúde,Saúde Coletiva,[0.    1.625],[ 0.    16.875],[0. 7.],[ 0.25  19.625],[ 0.292 19.75 ],[ 0.    11.125]
60,Engenharias,Engenharia Aeroespacial,[0.292 7.25 ],[ 0.458 11.625],[0.    3.875],[ 0.417 10.625],[ 0.417 10.625],[0.  4.5]
61,Engenharias,Engenharia Biomédica,[0.  5.5],[ 1. 13.],[0. 5.],[ 0.  12.5],[ 0.  12.5],[0.  4.5]
62,Engenharias,Engenharia Civil,[0.   8.25],[ 0. 15.],[0. 7.],[ 0.  15.5],[ 0.  15.5],[0.   7.75]
63,Engenharias,Engenharia Elétrica,[0. 6.],[0.   9.25],[0. 5.],[ 0.  11.5],[ 0.  11.5],[0.   4.25]
64,Engenharias,Engenharia Mecânica,[0.   7.75],[ 0.   13.25],[0.    5.875],[ 0.    13.625],[ 0.    13.625],[0.  6.5]
65,Engenharias,Engenharia Naval e Oceânica,[0.333 6.625],[0.333 9.625],[0.   2.25],[0.375 9.5  ],[0.375 9.5  ],[0.    8.375]
66,Engenharias,Engenharia Nuclear,[0.    8.375],[ 0.375 31.75 ],[0.   4.75],[ 0.  15.5],[ 0.  15.5],[0. 7.]
67,Engenharias,Engenharia Química,[0.   6.75],[ 0.667 17.5  ],[0.   6.25],[ 0.   14.25],[ 0.   14.25],[0.   4.75]
68,Engenharias,Engenharia Sanitária,[0.   7.25],[ 0.667 14.25 ],[0.  6.5],[ 0.25 16.5 ],[ 0.25 16.5 ],[0.   7.75]
69,Engenharias,Engenharia de Materiais e Metalúrgica,[0.   6.25],[ 0.5  15.75],[0.   4.75],[ 0.  10.5],[ 0.  10.5],[0.  5.5]
70,Engenharias,Engenharia de Minas,[0.   5.25],[ 0.667 10.5  ],[0.   3.75],[0. 7.],[0. 7.],[0.   5.75]
71,Engenharias,Engenharia de Produção,[0.   6.75],[ 0.25 14.25],[0.   7.75],[ 0.   16.75],[ 0.   16.75],[0.   7.25]
72,Engenharias,Engenharia de Transportes,[0.    5.625],[0.333 8.75 ],[0.    3.875],[ 0.292 10.625],[ 0.292 10.625],[0.   7.25]
73,"Lingüística, Letras e Artes",Artes,[0.  2.5],[0.   8.75],[0.   6.25],[ 0.5  16.75],[ 1.   20.75],[0.  9.5]
74,"Lingüística, Letras e Artes",Letras,[0.   2.75],[ 0.25 13.25],[0. 7.],[ 0.75 17.25],[ 0.75 18.  ],[ 0.  11.5]
75,"Lingüística, Letras e Artes",Lingüística,[0.  2.5],[ 0.25  12.875],[0.    7.375],[ 1.    20.625],[ 1. 21.],[ 0. 14.]
