,GRANDE-AREA-PREDOMINANTE,AREA-PREDOMINANTE,index,MIN(P.MED_TOT_BIBL_PERIODICO_NAC),MAX(P.MED_TOT_BIBL_PERIODICO_NAC),MIN(P.MED_TOT_BIBL_PERIODICO_INT),MAX(P.MED_TOT_BIBL_PERIODICO_INT),MIN(P.MED_TOT_BIBL_TRABALHO),MAX(P.MED_TOT_BIBL_TRABALHO),MIN(P.MED_TOT_BIBL_LIVRO),MAX(P.MED_TOT_BIBL_LIVRO),MIN(P.MED_TOT_BIBL_CAPITULO_LIVRO),MAX(P.MED_TOT_BIBL_CAPITULO_LIVRO),MIN(P.MED_TOT_BIBL_OUTROS),MAX(P.MED_TOT_BIBL_OUTROS),MIN(P.MED_TOT_BIBL_RESUMO_REVISTA),MAX(P.MED_TOT_BIBL_RESUMO_REVISTA),MIN(P.MED_TOT_BIBL_RESUMO_ANAIS),MAX(P.MED_TOT_BIBL_RESUMO_ANAIS),MIN(P.MED_TOT_BIBL),MAX(P.MED_TOT_BIBL),MIN(P.MED_TOT_ORIE_DOUTORADO_CONC),MAX(P.MED_TOT_ORIE_DOUTORADO_CONC),MIN(P.MED_TOT_ORIE_MESTRADO_CONC),MAX(P.MED_TOT_ORIE_MESTRADO_CONC),MIN(P.MED_TOT_ORIE_ESPECIALIZACAO_CONC),MAX(P.MED_TOT_ORIE_ESPECIALIZACAO_CONC),MIN(P.MED_TOT_ORIE_GRADUACAO_CONC),MAX(P.MED_TOT_ORIE_GRADUACAO_CONC),MIN(P.MED_TOT_ORIE_INICIACAO_CONC),MAX(P.MED_TOT_ORIE_INICIACAO_CONC),MIN(P.MED_TOT_ORIE_DOUTORADO_NCONC),MAX(P.MED_TOT_ORIE_DOUTORADO_NCONC),MIN(P.MED_TOT_ORIE_MESTRADO_NCONC),MAX(P.MED_TOT_ORIE_MESTRADO_NCONC),MIN(P.MED_TOT_ORIE_ESPECIALIZACAO_NCONC),MAX(P.MED_TOT_ORIE_ESPECIALIZACAO_NCONC),MIN(P.MED_TOT_ORIE_GRADUACAO_NCONC),MAX(P.MED_TOT_ORIE_GRADUACAO_NCONC),MIN(P.MED_TOT_ORIE_INICIACAO_NCONC),MAX(P.MED_TOT_ORIE_INICIACAO_NCONC),MIN(P.MED_TOT_ORIE_CONC),MAX(P.MED_TOT_ORIE_CONC),MIN(P.MED_TOT_ORIE_NCONC),MAX(P.MED_TOT_ORIE_NCONC),MIN(P.MED_TOT_DEMAIS),MAX(P.MED_TOT_DEMAIS),MIN(P.MED_TOT_OUTRAS),MAX(P.MED_TOT_OUTRAS),MIN(P.MED_TOT_TECN_SOFTWARE_REG),MAX(P.MED_TOT_TECN_SOFTWARE_REG),MIN(P.MED_TOT_TECN_SOFTWARE_NREG),MAX(P.MED_TOT_TECN_SOFTWARE_NREG),MIN(P.MED_TOT_TECN_PRODUTO_NREG),MAX(P.MED_TOT_TECN_PRODUTO_NREG),MIN(P.MED_TOT_TECN_TECNICA_REG),MAX(P.MED_TOT_TECN_TECNICA_REG),MIN(P.MED_TOT_TECN_TECNICA_NREG),MAX(P.MED_TOT_TECN_TECNICA_NREG),MIN(P.MED_TOT_TECN_TRABALHO),MAX(P.MED_TOT_TECN_TRABALHO),MIN(P.MED_TOT_TECN_APRESENTACAO),MAX(P.MED_TOT_TECN_APRESENTACAO),MIN(P.MED_TOT_TECN_OUTROS),MAX(P.MED_TOT_TECN_OUTROS),MIN(P.MED_TOT_TECN),MAX(P.MED_TOT_TECN),MIN(P.MED_TOT_ARTISTICA),MAX(P.MED_TOT_ARTISTICA)
0,Ciências Agrárias,Agronomia,2550.0,0.0,5.25,0.0,2.0,0.0,5.0,0.0,0.5,0.0,1.5,0.0,10.75,0.0,0.0,0.0,10.5,0.25,27.0,0.0,0.5,0.0,1.5,0.0,1.0,0.0,4.0,0.0,3.25,0.0,0.5,0.0,1.0,0.0,0.25,0.0,0.75,0.0,1.25,0.0,7.75,0.0,2.5,0.0,20.25,0.0,20.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,4.0,0.0,4.5,0.0,10.5,0.0,0.25
1,Ciências Agrárias,Ciência e Tecnologia de Alimentos,2699.0,0.0,3.5,0.0,2.0,0.0,2.75,0.0,0.25,0.0,0.75,0.0,5.5,0.0,0.0,0.0,8.25,0.5,19.0,0.0,0.25,0.0,1.25,0.0,1.0,0.0,3.5,0.0,2.75,0.0,0.5,0.0,0.5,0.0,0.25,0.0,0.5,0.0,1.0,0.0,7.75,0.0,2.0,0.5,16.0,0.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,3.0,0.0,3.75,0.0,8.25,0.0,0.0
2,Ciências Agrárias,Engenharia Agrícola,2479.5,0.0,5.125,0.0,1.0,0.0,5.25,0.0,0.25,0.0,1.0,0.0,7.875,0.0,0.0,0.0,4.875,0.75,19.5,0.0,0.5,0.0,1.5,0.0,0.75,0.0,2.125,0.0,2.25,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.25,0.0,1.0,0.0,5.0,0.0,2.0,0.5,15.375,0.5,15.375,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,2.5,0.0,3.75,0.0,8.5,0.0,0.0
3,Ciências Agrárias,Medicina Veterinária,2775.0,0.0,4.75,0.0,3.25,0.0,2.25,0.0,0.25,0.0,1.0,0.0,7.5,0.0,0.5,0.0,10.5,0.5,23.25,0.0,0.75,0.0,1.25,0.0,1.0,0.0,4.5,0.0,2.5,0.0,0.5,0.0,0.75,0.0,0.25,0.0,0.5,0.0,1.0,0.0,6.75,0.0,2.25,0.25,18.75,0.25,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,3.75,0.0,4.5,0.0,9.5,0.0,0.25
4,Ciências Agrárias,Recursos Florestais e Engenharia Florestal,2947.0,0.0,4.0,0.0,1.0,0.0,4.75,0.0,0.25,0.0,1.0,0.0,6.25,0.0,0.0,0.0,5.5,0.5,18.5,0.0,0.5,0.0,1.5,0.0,1.0,0.0,2.75,0.0,2.5,0.0,0.5,0.0,1.0,0.0,0.25,0.0,0.3333,0.0,1.0,0.0,5.25,0.0,2.0,0.0,15.25,0.0,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.75,0.0,7.0,0.0,0.0
5,Ciências Agrárias,Recursos Pesqueiros e Engenharia de Pesca,2574.0,0.0,2.5,0.0,2.125,0.0,1.375,0.0,0.25,0.0,0.75,0.0,4.0,0.0,0.0,0.0,7.5,0.5,14.875,0.0,0.375,0.0,1.0,0.0,0.25,0.0,2.875,0.0,1.875,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.75,0.0,5.625,0.0,2.0,0.875,15.875,1.0,15.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625,0.0,2.0,0.0,2.75,0.0,5.75,0.0,0.0
6,Ciências Agrárias,Zootecnia,2425.0,0.0,5.25,0.0,2.0,0.0,4.25,0.0,0.3333,0.0,1.5,0.0,14.0,0.0,0.25,0.0,8.0,0.5,28.5,0.0,0.5,0.0,1.5,0.0,0.5,0.0,3.5,0.0,2.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3333,0.0,1.0,0.0,6.75,0.0,2.0,0.5,20.0,0.5,19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,4.25,0.0,8.75,0.0,0.0
7,Ciências Biológicas,Biofísica,2740.0,0.0,1.375,0.0,5.0,0.0,3.0,0.0,0.25,0.0,0.5,0.0,1.375,0.0,0.0,0.0,8.0,1.25,15.25,0.0,0.75,0.0,1.375,0.0,0.25,0.0,1.625,0.0,1.75,0.0,0.875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,4.0,0.0,1.875,0.6667,11.0,0.6667,11.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625,0.0,2.5,0.0,1.875,0.0,6.375,0.0,0.0
8,Ciências Biológicas,Biologia Geral,2830.0,0.0,2.0,0.0,3.25,0.0,1.5,0.0,0.25,0.0,0.75,0.0,2.75,0.0,0.0,0.0,10.75,1.0,18.0,0.0,0.25,0.0,1.0,0.0,0.25,0.0,1.75,0.0,2.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.75,0.0,4.5,0.0,2.0,0.75,13.25,0.75,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,3.0,0.0,2.25,0.0,8.5,0.0,0.0
9,Ciências Biológicas,Bioquímica,2777.0,0.0,1.5,0.0,4.5,0.0,1.75,0.0,0.25,0.0,0.75,0.0,2.25,0.0,0.25,0.0,11.25,0.75,18.5,0.0,0.5,0.0,1.25,0.0,0.5,0.0,2.25,0.0,2.5,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.5,0.0,1.0,0.0,5.25,0.0,2.25,0.3333,14.75,0.3333,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,2.75,0.0,2.0,0.0,6.0,0.0,0.0
10,Ciências Biológicas,Botânica,2885.0,0.0,2.5,0.0,2.0,0.0,1.25,0.0,0.25,0.0,1.0,0.0,3.25,0.0,0.0,0.0,8.0,0.75,17.75,0.0,0.25,0.0,1.25,0.0,0.5,0.0,2.0,0.0,2.25,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.5,0.0,1.0,0.0,5.0,0.0,2.0,0.75,14.75,0.75,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,3.0,0.0,3.0,0.0,7.0,0.0,0.0
11,Ciências Biológicas,Ecologia,3028.0,0.0,2.5,0.0,2.25,0.0,2.25,0.0,0.25,0.0,1.5,0.0,3.5,0.0,0.0,0.0,8.5,0.3333,16.0,0.0,0.25,0.0,1.25,0.0,0.75,0.0,3.75,0.0,2.5,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.5,0.0,1.25,0.0,6.25,0.0,2.0,0.25,15.0,0.25,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.25,0.0,3.25,0.0,8.25,0.0,0.0
12,Ciências Biológicas,Farmacologia,2860.5,0.0,2.5,0.0,5.75,0.0,1.0,0.0,0.25,0.0,0.875,0.0,2.125,0.0,0.25,0.0,11.25,0.75,18.75,0.0,0.5,0.0,1.5,0.0,1.0,0.0,2.375,0.0,2.75,0.0,0.875,0.0,0.875,0.0,0.0,0.0,0.25,0.0,1.25,0.0,5.75,0.0,2.375,0.41664999999999996,15.875,0.41664999999999996,15.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,3.875,0.0,2.625,0.0,7.375,0.0,0.0
13,Ciências Biológicas,Fisiologia,3030.0,0.0,1.75,0.0,4.25,0.0,1.25,0.0,0.25,0.0,0.75,0.0,2.0,0.0,0.25,0.0,9.5,1.0,19.5,0.0,0.75,0.0,1.5,0.0,0.5,0.0,1.5,0.0,2.25,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.25,0.0,1.0,0.0,4.25,0.0,1.75,0.75,13.25,0.75,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,2.75,0.0,2.25,0.0,5.5,0.0,0.0
14,Ciências Biológicas,Genética,2808.5,0.0,2.5,0.0,4.875,0.0,2.0,0.0,0.25,0.0,1.5,0.0,3.75,0.0,0.125,0.0,13.0,0.875,23.75,0.0,0.5,0.0,1.5,0.0,0.75,0.0,2.375,0.0,2.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,5.75,0.0,2.25,0.5,17.625,0.5,17.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625,0.0,3.5,0.0,3.5,0.0,9.5,0.0,0.0
15,Ciências Biológicas,Imunologia,2604.0,0.0,2.0,0.0,4.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.25,0.0,10.25,1.0,17.5,0.0,0.75,0.0,1.25,0.0,0.75,0.0,1.75,0.0,2.25,0.0,1.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,1.0,0.0,4.5,0.0,1.75,0.5,17.25,0.5,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,3.5,0.0,3.75,0.0,8.5,0.0,0.0
16,Ciências Biológicas,Microbiologia,2497.0,0.0,2.5,0.0,2.75,0.0,1.75,0.0,0.0,0.0,0.75,0.0,3.25,0.0,0.0,0.0,8.25,1.0,17.25,0.0,0.3333,0.0,1.5,0.0,1.0,0.0,2.25,0.0,2.0,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.75,0.0,5.75,0.0,2.0,0.5,15.25,0.5,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,2.5,0.0,2.5,0.0,6.0,0.0,0.0
17,Ciências Biológicas,Morfologia,3034.0,0.0,2.0,0.0,3.0,0.0,1.25,0.0,0.25,0.0,0.75,0.0,2.25,0.0,0.25,0.0,8.5,1.0,16.25,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.5,0.0,2.25,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.75,0.0,2.0,1.0,16.25,1.0,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.75,0.0,7.25,0.0,0.0
18,Ciências Biológicas,Parasitologia,2711.0,0.0,2.0,0.0,3.75,0.0,1.0,0.0,0.25,0.0,0.75,0.0,2.0,0.0,0.0,0.0,9.0,1.0,16.5,0.0,0.25,0.0,1.25,0.0,0.5,0.0,1.75,0.0,2.0,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.75,0.0,2.25,0.3333,13.75,0.3333,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,2.25,0.0,2.25,0.0,6.25,0.0,0.0
19,Ciências Biológicas,Zoologia,2749.0,0.0,2.25,0.0,3.0,0.0,1.0,0.0,0.25,0.0,1.5,0.0,3.25,0.0,0.0,0.0,9.25,1.0,17.875,0.0,0.25,0.0,1.5,0.0,0.5,0.0,2.25,0.0,2.5,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.5,0.0,1.0,0.0,5.125,0.0,1.875,0.5,13.625,0.5,13.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.5,0.0,3.0,0.0,8.0,0.0,0.0
20,Ciências Exatas e da Terra,Astronomia,2839.0,0.0,0.5,0.0,3.25,0.0,1.625,0.0,0.25,0.0,0.25,0.0,2.0,0.0,0.0,0.0,6.25,1.0,12.375,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.625,0.0,0.75,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.25,0.0,1.0,0.0,6.625,0.0,6.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,1.5,0.0,2.0,0.0,3.75,0.0,0.0
21,Ciências Exatas e da Terra,Ciência da Computação,2463.0,0.0,1.0,0.0,0.75,0.0,5.0,0.0,0.0,0.0,0.5,0.0,1.5,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.6667,0.0,1.0,0.0,4.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.75,0.0,6.125,0.0,1.5,0.0,13.5,0.0,13.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,1.5,0.0,2.5,0.0,6.25,0.0,0.0
22,Ciências Exatas e da Terra,Física,2359.0,0.0,1.0,0.0,5.0,0.0,3.25,0.0,0.25,0.0,0.3333,0.0,2.25,0.0,0.0,0.0,6.75,0.41664999999999996,14.875,0.0,0.5,0.0,1.0,0.0,0.3333,0.0,1.5,0.0,1.75,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,3.75,0.0,1.75,0.0,9.25,0.0,9.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.375,0.0,2.0,0.0,4.375,0.0,0.0
23,Ciências Exatas e da Terra,Geociências,2526.5,0.0,2.375,0.0,1.75,0.0,4.875,0.0,0.3333,0.0,1.25,0.0,3.75,0.0,0.0,0.0,4.75,0.0,15.25,0.0,0.41664999999999996,0.0,1.5,0.0,1.0,0.0,3.125,0.0,2.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.875,0.0,6.5,0.0,2.0,0.0,15.5,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,0.0,2.625,0.0,3.5,0.0,7.75,0.0,0.125
24,Ciências Exatas e da Terra,Matemática,3224.5,0.0,0.5,0.0,1.75,0.0,2.625,0.0,0.25,0.0,0.25,0.0,1.5,0.0,0.0,0.0,2.0,0.0,7.875,0.0,0.0,0.0,0.875,0.0,0.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4.0,0.0,1.5,0.25,10.5,0.25,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,0.0,2.625,0.0,5.25,0.0,0.0
25,Ciências Exatas e da Terra,Oceanografia,2852.5,0.0,1.75,0.0,3.125,0.0,3.0,0.0,0.25,0.0,1.75,0.0,5.375,0.0,0.0,0.0,7.25,0.5,17.875,0.0,0.625,0.0,1.5,0.0,0.5,0.0,2.625,0.0,2.0,0.0,0.5,0.0,0.875,0.0,0.25,0.0,0.5,0.0,1.0,0.0,5.875,0.0,2.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,2.75,0.0,3.0,0.0,7.0,0.0,0.25
26,Ciências Exatas e da Terra,Probabilidade e Estatística,2849.0,0.0,2.25,0.0,1.5,0.0,2.75,0.0,0.25,0.0,0.3333,0.0,2.75,0.0,0.0,0.0,5.5,0.5,14.25,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.5,0.0,1.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4.0,0.0,1.0,0.25,11.0,0.25,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.25,0.0,1.75,0.0,5.25,0.0,0.0
27,Ciências Exatas e da Terra,Química,2364.0,0.0,2.375,0.0,3.875,0.0,3.25,0.0,0.25,0.0,0.5,0.0,3.875,0.0,0.0,0.0,11.25,0.41664999999999996,19.875,0.0,0.25,0.0,1.25,0.0,0.5,0.0,3.0,0.0,2.75,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.25,0.0,1.25,0.0,6.0,0.0,2.25,0.125,15.5,0.125,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,1.625,0.0,2.75,0.0,2.5,0.0,6.875,0.0,0.0
28,Ciências Humanas,Antropologia,2725.0,0.0,1.5,0.0,0.25,0.0,2.25,0.0,0.3333,0.0,1.75,0.0,2.75,0.0,0.0,0.0,2.5,0.0,9.75,0.0,0.0,0.0,1.25,0.0,1.25,0.0,3.5,0.0,1.5,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.75,0.0,6.0,0.0,1.75,0.5,16.0,0.75,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,4.25,0.0,4.0,0.0,10.0,0.0,1.0
29,Ciências Humanas,Arqueologia,3052.0,0.0,1.5,0.0,0.5,0.0,2.25,0.0,0.25,0.0,0.75,0.0,2.0,0.0,0.0,0.0,4.0,0.25,9.25,0.0,0.25,0.0,0.75,0.0,0.0,0.0,1.75,0.0,1.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.5,0.0,4.25,0.0,1.75,0.75,15.5,0.75,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.5,0.0,3.5,0.0,8.0,0.0,0.5
30,Ciências Humanas,Ciência Política,2882.0,0.0,1.875,0.0,0.5,0.0,2.75,0.0,0.41664999999999996,0.0,1.75,0.0,4.25,0.0,0.0,0.0,1.375,0.58335,9.5,0.0,0.0,0.0,1.375,0.0,1.5,0.0,3.75,0.0,1.625,0.0,0.125,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.625,0.0,7.0,0.0,2.0,1.125,17.875,1.125,17.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125,0.0,3.5,0.0,4.125,0.0,9.125,0.0,0.25
31,Ciências Humanas,Educação,3306.0,0.0,2.5,0.0,0.5,0.0,5.5,0.0,0.75,0.0,2.0,0.0,4.5,0.0,0.0,0.0,5.25,0.0,16.75,0.0,0.0,0.0,1.75,0.0,4.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,1.25,0.0,0.5,0.0,1.0,0.0,0.75,0.0,10.0,0.0,2.0,0.0,23.75,0.0,23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.5,0.0,7.0,0.0,16.25,0.0,0.5
32,Ciências Humanas,Filosofia,2804.0,0.0,2.25,0.0,0.25,0.0,1.5,0.0,0.5,0.0,2.0,0.0,4.25,0.0,0.0,0.0,2.75,0.25,11.25,0.0,0.0,0.0,1.25,0.0,1.25,0.0,3.75,0.0,1.5,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.75,0.0,6.0,0.0,2.0,0.3333,16.75,0.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,5.25,0.0,4.5,0.0,10.75,0.0,0.5
33,Ciências Humanas,Geografia,2885.0,0.0,2.0,0.0,0.25,0.0,4.5,0.0,0.25,0.0,1.0,0.0,2.75,0.0,0.0,0.0,3.5,0.3333,13.5,0.0,0.0,0.0,1.0,0.0,1.625,0.0,4.0,0.0,1.75,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.5,0.0,0.75,0.0,7.125,0.0,2.125,1.0,17.125,1.125,17.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,4.5,0.0,4.375,0.0,8.75,0.0,0.5
34,Ciências Humanas,História,3307.0,0.0,2.5,0.0,0.25,0.0,2.75,0.0,0.5,0.0,1.5,0.0,4.0,0.0,0.0,0.0,3.75,0.25,12.25,0.0,0.0,0.0,1.25,0.0,1.75,0.0,4.75,0.0,1.75,0.0,0.25,0.0,0.75,0.0,0.25,0.0,0.75,0.0,0.75,0.0,7.25,0.0,2.0,1.0,19.5,1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.25,0.0,5.0,0.0,11.25,0.0,1.0
