index,GRANDE-AREA-PREDOMINANTE,AREA-PREDOMINANTE,(P.MED_TOT_BIBL_TRABALHO),(P.MED_TOT_BIBL),(P.MED_TOT_ORIE_CONC),(P.MED_TOT_DEMAIS),(P.MED_TOT_OUTRAS),(P.MED_TOT_TECN)
0,Ciências Biológicas,Biofísica,"[0.0, 3.0]","[1.25, 15.25]","[0.0, 4.0]","[0.667, 11.0]","[0.667, 11.125]","[0.0, 6.375]"
1,Ciências Biológicas,Zoologia,"[0.0, 1.0]","[1.0, 17.875]","[0.0, 5.125]","[0.5, 13.625]","[0.5, 13.625]","[0.0, 8.0]"
2,Ciências Biológicas,Parasitologia,"[0.0, 1.0]","[1.0, 16.5]","[0.0, 4.75]","[0.333, 13.75]","[0.333, 13.75]","[0.0, 6.25]"
3,Ciências Biológicas,Morfologia,"[0.0, 1.25]","[1.0, 16.25]","[0.0, 4.75]","[1.0, 16.25]","[1.0, 17.25]","[0.0, 7.25]"
4,Ciências Biológicas,Imunologia,"[0.0, 1.0]","[1.0, 17.5]","[0.0, 4.5]","[0.5, 17.25]","[0.5, 17.25]","[0.0, 8.5]"
5,Ciências Biológicas,Genética,"[0.0, 2.0]","[0.875, 23.75]","[0.0, 5.75]","[0.5, 17.625]","[0.5, 17.625]","[0.0, 9.5]"
6,Ciências Biológicas,Microbiologia,"[0.0, 1.75]","[1.0, 17.25]","[0.0, 5.75]","[0.5, 15.25]","[0.5, 15.25]","[0.0, 6.0]"
7,Ciências Biológicas,Farmacologia,"[0.0, 1.0]","[0.75, 18.75]","[0.0, 5.75]","[0.417, 15.875]","[0.417, 15.875]","[0.0, 7.375]"
8,Ciências Biológicas,Ecologia,"[0.0, 2.25]","[0.333, 16.0]","[0.0, 6.25]","[0.25, 15.0]","[0.25, 15.0]","[0.0, 8.25]"
9,Ciências Biológicas,Botânica,"[0.0, 1.25]","[0.75, 17.75]","[0.0, 5.0]","[0.75, 14.75]","[0.75, 14.75]","[0.0, 7.0]"
10,Ciências Biológicas,Bioquímica,"[0.0, 1.75]","[0.75, 18.5]","[0.0, 5.25]","[0.333, 14.75]","[0.333, 14.75]","[0.0, 6.0]"
11,Ciências Biológicas,Biologia Geral,"[0.0, 1.5]","[1.0, 18.0]","[0.0, 4.5]","[0.75, 13.25]","[0.75, 13.25]","[0.0, 8.5]"
12,Ciências Biológicas,Fisiologia,"[0.0, 1.25]","[1.0, 19.5]","[0.0, 4.25]","[0.75, 13.25]","[0.75, 13.5]","[0.0, 5.5]"
13,Ciências Sociais Aplicadas,Economia Doméstica,"[0.0, 4.25]","[1.0, 14.0]","[0.0, 7.5]","[0.0, 23.5]","[0.0, 23.5]","[0.0, 18.5]"
14,Ciências Sociais Aplicadas,Turismo,"[0.0, 2.875]","[0.417, 9.625]","[0.0, 6.0]","[1.75, 16.0]","[1.75, 16.0]","[0.292, 6.375]"
15,Ciências Sociais Aplicadas,Serviço Social,"[0.0, 3.5]","[0.0, 11.375]","[0.0, 8.0]","[0.583, 22.0]","[0.667, 22.125]","[0.0, 13.0]"
16,Ciências Sociais Aplicadas,Planejamento Urbano e Regional,"[0.0, 3.5]","[0.25, 10.5]","[0.0, 6.5]","[0.5, 17.75]","[0.5, 18.0]","[0.0, 7.5]"
17,Ciências Sociais Aplicadas,Museologia,"[0.0, 3.625]","[0.625, 11.0]","[0.0, 4.875]","[1.5, 20.75]","[1.5, 18.125]","[0.375, 13.875]"
18,Ciências Sociais Aplicadas,Economia,"[0.0, 4.5]","[0.0, 12.5]","[0.0, 6.75]","[0.0, 18.5]","[0.0, 18.5]","[0.0, 7.5]"
19,Ciências Sociais Aplicadas,Direito,"[0.0, 1.5]","[0.0, 11.75]","[0.0, 12.125]","[0.5, 27.25]","[0.583, 27.25]","[0.0, 9.125]"
20,Ciências Sociais Aplicadas,Desenho Industrial,"[0.0, 4.75]","[0.25, 9.0]","[0.0, 8.875]","[0.5, 19.75]","[0.583, 20.625]","[0.0, 10.875]"
21,Ciências Sociais Aplicadas,Demografia,"[0.0, 3.125]","[1.0, 9.875]","[0.125, 4.375]","[0.75, 16.625]","[0.75, 16.75]","[0.375, 8.375]"
22,Ciências Sociais Aplicadas,Comunicação,"[0.0, 3.25]","[0.0, 11.75]","[0.0, 8.25]","[0.5, 20.5]","[0.708, 20.75]","[0.0, 10.375]"
23,Ciências Sociais Aplicadas,Ciência da Informação,"[0.0, 3.75]","[0.0, 11.125]","[0.0, 6.375]","[0.25, 19.25]","[0.292, 19.25]","[0.0, 8.125]"
24,Ciências Sociais Aplicadas,Arquitetura e Urbanismo,"[0.0, 4.0]","[0.0, 10.5]","[0.0, 6.5]","[0.333, 18.0]","[0.333, 18.5]","[0.0, 8.75]"
25,Ciências Sociais Aplicadas,Administração,"[0.0, 6.25]","[0.25, 13.25]","[0.0, 10.75]","[0.5, 19.75]","[0.5, 20.0]","[0.0, 10.0]"
26,Engenharias,Engenharia de Minas,"[0.0, 5.25]","[0.667, 10.5]","[0.0, 3.75]","[0.0, 7.0]","[0.0, 7.0]","[0.0, 5.75]"
27,Engenharias,Engenharia de Materiais e Metalúrgica,"[0.0, 6.25]","[0.5, 15.75]","[0.0, 4.75]","[0.0, 10.5]","[0.0, 10.5]","[0.0, 5.5]"
28,Engenharias,Engenharia Sanitária,"[0.0, 7.25]","[0.667, 14.25]","[0.0, 6.5]","[0.25, 16.5]","[0.25, 16.5]","[0.0, 7.75]"
29,Engenharias,Engenharia Química,"[0.0, 6.75]","[0.667, 17.5]","[0.0, 6.25]","[0.0, 14.25]","[0.0, 14.25]","[0.0, 4.75]"
30,Engenharias,Engenharia Nuclear,"[0.0, 8.375]","[0.375, 31.75]","[0.0, 4.75]","[0.0, 15.5]","[0.0, 15.5]","[0.0, 7.0]"
31,Engenharias,Engenharia Elétrica,"[0.0, 6.0]","[0.0, 9.25]","[0.0, 5.0]","[0.0, 11.5]","[0.0, 11.5]","[0.0, 4.25]"
32,Engenharias,Engenharia Mecânica,"[0.0, 7.75]","[0.0, 13.25]","[0.0, 5.875]","[0.0, 13.625]","[0.0, 13.625]","[0.0, 6.5]"
33,Engenharias,Engenharia de Produção,"[0.0, 6.75]","[0.25, 14.25]","[0.0, 7.75]","[0.0, 16.75]","[0.0, 16.75]","[0.0, 7.25]"
34,Engenharias,Engenharia Civil,"[0.0, 8.25]","[0.0, 15.0]","[0.0, 7.0]","[0.0, 15.5]","[0.0, 15.5]","[0.0, 7.75]"
35,Engenharias,Engenharia Biomédica,"[0.0, 5.5]","[1.0, 13.0]","[0.0, 5.0]","[0.0, 12.5]","[0.0, 12.5]","[0.0, 4.5]"
36,Engenharias,Engenharia Aeroespacial,"[0.292, 7.25]","[0.458, 11.625]","[0.0, 3.875]","[0.417, 10.625]","[0.417, 10.625]","[0.0, 4.5]"
37,Engenharias,Engenharia Naval e Oceânica,"[0.333, 6.625]","[0.333, 9.625]","[0.0, 2.25]","[0.375, 9.5]","[0.375, 9.5]","[0.0, 8.375]"
38,Engenharias,Engenharia de Transportes,"[0.0, 5.625]","[0.333, 8.75]","[0.0, 3.875]","[0.292, 10.625]","[0.292, 10.625]","[0.0, 7.25]"
